one_way_bps,initial_capital_krw,pretax_cagr,aftertax_cagr,tax_drag_pctp,pretax_mdd,aftertax_mdd_raw,aftertax_mdd_ex_taxday,tax_event_days,total_tax_paid_krw
3,30000000.0,0.35524013032009494,0.32638594244758923,0.02885418787250571,-0.34002906709957037,-0.5167254010538387,-0.5167254010538387,13,678350223.8426261
5,30000000.0,0.35337082271475295,0.32456104095292804,0.028809781761824915,-0.34021482716254714,-0.5170329585948208,-0.5170329585948208,13,664748060.4208447
7,30000000.0,0.35150429626803614,0.3227390540250594,0.02876524224297672,-0.3403996206489729,-0.5173384770471388,-0.5173384770471388,13,651416051.5778334
10,30000000.0,0.3487095666359159,0.32001139409408697,0.028698172541828937,-0.3406749046644377,-0.5177932678606387,-0.5177932678606387,13,631911822.3494577
15,30000000.0,0.34406515793360826,0.31547512371954967,0.02859003421405859,-0.34112851044152026,-0.5185413001699966,-0.5185413001699966,12,600757381.3262271
3,100000000.0,0.3525447325153883,0.3234488115340939,0.029095920981294432,-0.34199024553171997,-0.5206462645756549,-0.5206462645756549,13,2216101416.914082
5,100000000.0,0.35066486975637434,0.32160794874470056,0.029056921011673786,-0.34219205314035617,-0.5210070411406225,-0.5210070411406225,13,2171721322.335246
7,100000000.0,0.34878770876880316,0.3197698179993407,0.029017890769462484,-0.3423930267235168,-0.5213664930272242,-0.5213664930272242,13,2128226716.4807217
10,100000000.0,0.3459768741266973,0.31701759119944506,0.02895928292725225,-0.3426928345475102,-0.5219035506012965,-0.5219035506012965,13,2064603144.8476598
15,100000000.0,0.34130520703649236,0.3124437800881512,0.02886142694834115,-0.3431880010406426,-0.5227924197261593,-0.5227924197261593,13,1962737716.234725
3,300000000.0,0.3517610394491446,0.322593126418784,0.029167913030360593,-0.34256660522574855,-0.5218128998041169,-0.5218128998041169,13,6609676254.261114
5,300000000.0,0.34987803431107833,0.3207474983788665,0.02913053593221182,-0.34277318489521047,-0.5221897906539408,-0.5221897906539408,13,6477359213.519251
7,300000000.0,0.34799770668687313,0.3189045465801066,0.029093160106766547,-0.34297897062561966,-0.5225655794359716,-0.5225655794359716,13,6347685759.060402
10,300000000.0,0.3451820752833421,0.3161449808088348,0.029037094474507308,-0.3432860733950368,-0.5231275684774992,-0.5231275684774992,13,6158006923.413954
15,300000000.0,0.34050228621442535,0.31155864398462074,0.02894364222980461,-0.34379360619915245,-0.52405915303481,-0.52405915303481,13,5854335656.566877
