one_way_bps,initial_capital_krw,pretax_cagr,aftertax_cagr,tax_drag_pctp,pretax_mdd,aftertax_mdd,total_tax_paid_krw
3,30000000.0,0.42033151289184323,0.39069891419295866,0.02963259869888457,-0.4026230369763093,-0.527355448806172,1320716359.0662315
5,30000000.0,0.4185013482487978,0.38890642565487,0.02959492259392782,-0.40319784958287963,-0.52773522551144,1296146809.0389805
7,30000000.0,0.4166653510304985,0.38710819793180073,0.029557153098697775,-0.40377148842088406,-0.5281243819254178,1271928239.3015673
10,30000000.0,0.41387326296777327,0.3843730526803393,0.029500210287433992,-0.4046291215094754,-0.5287609809628524,1235922431.5883422
15,30000000.0,0.4092119198045554,0.3798052143230124,0.029406705481543005,-0.4060535333307732,-0.5298158415541052,1177973214.9632337
3,100000000.0,0.41751505209515005,0.38778481706009105,0.029730235035059005,-0.40408770035073727,-0.5339108085451005,4296356703.480049
5,100000000.0,0.4156743616862226,0.3859792803756308,0.029695081310591842,-0.40467363761426745,-0.5343459511576858,4216176717.128256
7,100000000.0,0.4138364620911412,0.3841765399287831,0.029659922162358132,-0.4052586769479546,-0.5347798379848849,4137503490.5812073
10,100000000.0,0.4110848070676587,0.38147763607051033,0.02960717099714838,-0.406134553516193,-0.5354283054414435,4022255213.887491
15,100000000.0,0.4065125318752867,0.3769933190562904,0.029519212818996277,-0.40758986652486484,-0.5365027554961483,3837308273.046281
3,300000000.0,0.41669620252618933,0.3869367369740506,0.02975946555213871,-0.40451909587890367,-0.5358578655754749,12798186258.948105
5,300000000.0,0.41485237929353813,0.3851273116302174,0.029725067663320726,-0.4051083595702728,-0.5363098125684386,12559119311.669022
7,300000000.0,0.41301132696470355,0.38332064862988324,0.02969067833482031,-0.40569675058157484,-0.5367606435865611,12324551268.905985
10,300000000.0,0.4102549048864108,0.380615796224717,0.029639108661693836,-0.40657770255943515,-0.5374347925072599,11980944519.633175
15,300000000.0,0.4056745818695324,0.3761213887789816,0.029553193090550822,-0.408041603920533,-0.5385527615897621,11429564784.286842
